Material,Sintering,Structure,er,Qf,f,Tcf,Reference
La5CrTi 3O15,1625,"A5B4O15type cation deficient
perovskite Trigonal P3m",33.2,27500,4.88,-34,981
La4PrCrTi 3O15,1575,"A5B4O15type cation deficient
Perovskite Trigonal P3m",33.2,23700,4.7,-22,981
Ba5SrTa4 TiO18,1550,A6B5O18 type perovskite,33.2,33000,,65,812
Ba2Ti 3Nb 4O15+3 wt% ZBS,925,Tetragonal,33.2,13600,,6,982
Ba[(Y0.85Pr 0.15 ) 1/2 Ta1/2 ]O3 + 0.5 wt% Nb 2 O5,1575,Complex perovskite,33.2,51500,,0,767
Ba((Co 0.6-x/2 Zn 0.4-x/2 Mgx) 1/3 Nb 2/3 )O3 (x=0.3),"
1400",Complex perovskite,33.2,117200,,14,983
Pr(Zr 1/3 Ti 2/3 )O6,1600,"Aeschyenite orthorhombic
Pnma",33.3,16200,4.3,14,925
Ce(Zr 1/3 Ti 1/3 )O6,1600,"Aeschyenite orthorhombic
Pnma",33.4,15800,,14,925
Zr 0.8 Sn 0.2 TiO4+4 wt% WO 3,1400,Orthorhombic Pbcn,33.4,56000,,0,984
Bi 2O3,680,Tetragonal P-42 1c,33.5,18700,8.7,-235,26
Ba(Ho 1/2 Ta1/2 )O3 +0.5 wt% Nb 2O5,1575,Perovskite,33.5,24050,,130,767
La4NdCrTi 3O15,1600,,33.5,18000,4.7,-36,981
Ba(Ho /2Ta1/2 )O3,1625,"Complex perovskite
Tetragonal",33.5,24000,,130,856
Sr(Gd 1/2 Nb 1/2 )O3 +0.2 wt% B 2O3,1350,"Complex perovskite
Tetragonal",33.5,8350,,-60,745
Ba8Zn(Nb 6-xSb x)O24 (x=0.6),1425,Perovskite,33.6,11500,,30,447
SrLi 2Ti 6O14,1000,Orthorhombic Cmca,33.6,8700,6.8,-3,923
Zn 0.85 Co 0.15 Ta2O6,1325,Orthorhombic Pbcn,33.7,53300,,42,985
"BaTi 4O9+10 wt% BaO-Li 2O-B 2O3-SiO 2-ZnO
glass",925,Composite,33.7,14500,,,986
Ba1+x[(Co 0.7Zn 0.3 ) 1/3 Nb 2/3]O3 (x=-0.01),1450,Perovskite Trigonal P-3m1,33.7,70900,,-4,987
Ba[(Co 0.6-x/2 Zn 0.4-x/2 Mgx) 1/3 Nb 2/3 ]O3 x=0.3,,Perovskite Trigonal P-3m1,33.7,93800,,10,988
Ba2Sr 3Ta4O15(AnB n-1O3n),1600,Trigonal P-3m1 perovskite,33.7,2400,5,-25,773
(Sr 0.1 Ba0.9 )(Ti 0.1 Zn 0.3 Ta0.6 )O3,,,33.7,36000,7,23,914
ZnTa2O6,1400,Orthorhombic Pbcn,33.7,79310,8.5,9,989
Sr(Tb 1/2 Nb 1/2 )O3+0.5 wt% CeO 2,1575,"Complex perovskite
Tetragonal",33.7,36300,,-61,745
Zn 0.87 Co 0.13 Ta2O6,1325,Orthorhombic Pbcn,33.8,66300,,43,985
93 wt% BaTi 4O9 +10 wt% Li 2O-B2O3-SiO 2,950,Composite,33.8,12700,,25,532
(Sr 1-xBa x)(Y1/2Nb 1/2 )O3 (x=0.65),1600,Complex perovskite,33.8,45600,,0,745
Ba4ZnTi 11O27 +4 wt% BaCu)B 2O 5),1200,Monoclinic C2/m,33.8,12200,6.18,7,990
Sr 6Nb 4ZrO 18+2 wt% Bi 2O3-B2O3,1625,A6B5O18 type perovskite,33.9,21000,,-8,812
(Bi 0.9 Nd 0.1 ) 2Mo 2O9,,Monoclinic P2 1/n,33.9,15200,,8,972
Ba1-xLa2x/3 (Co 0.7 Zn 0.3 ) 1/3 Nb 2/3 O3 (x=0.01),1425,Complex perovskite,34,63000,,5,991
Ba4LiNb 3-xTa xO12 (x=1),1350,Hexagonal perovskite P6 3 mc,34,56000,,43,854
Ba(Dy1/2 Ta1/2 )O3 +0.5 wt% Nb 2O5,1575,Complex perovskite,34,20650,,-48,767
Sr 4-mLa mTi m-1 Ta4-mO12 (m=2),1580,Not available,34,35000,,-15,887
Ba8Li 2Nb 2Ta4O24,,Hexagonal P6 3mmc,34,56000,,,865
Bi(Sb 1-xTa x)O4 (x=0.6),960,Orthorhombic Pc2 1n,34,30000,,-16,522
ZnTiNb 2O8,1250,Orthorhombic Pbcn,34,42500,,-52,571
0.2TiTe3O8-0.8TeO 2,670,Composite,34,22000,,24,526
BaO-TiO2-WO3 (N-35): B 2O3,1200,,34,70500,8.5,,710783
La(Zn 1/2 Ti 1/2 )O3,1550,Perovskite,34,59000,10,-52,992993
Ba10Ta8-0.8xTi xO30 (x=0.6),1400,"AnB n-1O3n hexagonal
Perovskite P6 3/mmc",34,30820,,57,836
Ca5Ta2 Ti 0.6 Hf0.4 O12,1675,"Complex perovskite perovskite
Orthorhombic Pnma",34,26000,4.4,0,435
Ca5Nb 2Ti 0.2 Zr 0.8 O12,1670,"Complex perovskite
Orthorhombic Pnma",34,24000,4.4,0,598
"0.25Ba(Zn 1/3 Nb 2/3 )O3—0.75Ba(Mg1/3 Nb 2/3 )O3
+B2O3-LiF",1350,Perovskite Trigonal P-3m1,34,76700,7.6,-4,994
La5Mg0.5 Ti 3.5 O15,,Trigonal P-3m1,34,31000,6,-16,863870
La4SmCrTi 3O15,1575,,34,15900,4.89,-38,981
0.5CaTiO 3-0.5Sm(Mg0.5 Ti 0.5 )O3,1550,Perovskite,34,10400,4.91,-24,786
"(1-x)(Mg0.95 Zn 0.05 )TiO 3-xCa0.6 La0.8/3 TiO3
(x=0.3)",1320,,34,61000,,66,411
"Ca[(Li 1/3 Nb 2/3 ) 0.84 Ti 0.16]O3- +2 wt% LiF+3 wt%
B2O3",900,Perovskite,34,17400,,-5,678
Ba(Dy1/2 Ta1/2 )O3,1625,"Complex perovskite
Tetragonal",34,20600,,-48,856
Sr(Gd 1/2 Nb 1/2 )O3,1575,Perovskite,34,8800,,-56,745
0.99Ba(Co 1/3 Nb 2/3 )O3-0.01Ba(Y1/2Nb 1/2 )O 3,1380,Perovskite,34,38690,,,995
0.95Ba(Yb 1/2 Nb 1/2 )O3-0.05Ca(Y 1/2Nb 1/2 )O 3,1600,Perovskite,34,47500,,1,689
Sr(Tb 1/2 Nb 1/2 )O3,1575,Perovskite,34,36300,,-61,745
Ca5Nb 2Ti 0.2 Zr 0.8 O12,1670,"Perovskite Pnma
Orthorhombic",34,24000,4.4,0,598
Ca5Ta2 Ti 0.6 Hf0.4 O12,1675,"Perovskite Pnma
orthorhombic",34,26000,4.4,0,435
"xBa(Zn 1/3 Nb 2/3 )O3-(1-x)Ba(Mg1/3 Nb 2/3 )O 3
(x=0.25)",1500,"Perovskite hexagonal
P-3m1",34,76700,,-4,994
Ba[(Ni 0.6 Zn 0.4)1/3 Nb 2/3]O3+0.5 mol% B 2O 3,1340,"Perovskite hexagonal
P-3m1",34,42100,,-8,976
LiNb 3O8,1075,Monoclinic P2 1/a,34,58000,,-96,711
Zr 0.034 Hf0.966 TiO4,,Orthorhombic Pbcn,34.1,34000,9.9,,996
"0.09[0.5ZnNb 2O 6-0.5Zn3 Nb 2O 8]-0.91ZnTa 2O 6 +1
wt% ZBS",1000,Composite,34.1,37100,,-3,867
ZnTi(Nb 1-xTa x) 2 O8 (x=0.05),1140,Orthorhombic Pbcn,34.1,40000,,-66,997
Ca[(Li 1/3 Nb 2/3 ) 0.8 Ti 0.2]O3-d + 15 wt% LMZBS,900,Composite,34.1,11500,,-21,714
Ba2SrYNb 3O12,1450,Perovskite Trigonal R-3,34.1,31900,,74,368
Ba8Ta4 Ti 3O24,,,34.2,23050,,76,836
Ba5Nb 2Ta2O15,1475,Perovskite,34.2,10500,,22,998
0.7BaTi 4O9-0.3BaZn 2Ti 4O11,1240,Composite,34.2,60600,,-2,999
Ca[(Li 1/3 Nb 2/3 ) 0.8 Ti0. 2]O3-d + 1 wt% LBS,1100,Perovskite orthorhombic,34.2,22900,,-10,714
Ca[(Li 1/3 Nb 2/3 ) 0.8 Ti 0.2]O3-d + 3 wt% LMZBS,1025,"Complex Perovskite
Orthorhombic",34.2,24500,,-5,714
Ba(Sm1/2 Ta1/2 )O3,1500,Perovskite,34.3,27000,7.7,5,530
Ba[Ni 0.6 Zn 0.4] 0.33 Nb 0.67]O3 +0.5 mol% B 2O 3,1350,"Perovskite hexagonal
P-3m1",34.3,42100,,-3,976
0.5ZnNb 2O6-0.5TiO 2,1250,Composite,34.3,42500,,-52,1000
ZnTiNb 2O8,1250,Orthorhombic Pbcn,34.3,42500,,-52,1001
Zn 0.89 Co 0.11 Ta2O6,1325,Tri rutile Tetragonal,34.3,72000,,44,985
"Ca[(Li 1/3 Nb 2/3 ) 0.84 Ti 0.16]O3- +2 wt% LiF+3 wt%
ZnO-B2O3-SiO 2",900,"Complex Perovskite
Orthorhombic",34.3,17400,,-5,1002
Ba3Sr 2Ta4O15,1575,,34.3,4000,,-15,998
Sr(Gd 1/2 Nb 1/2 )O3+0.5 wt% CeO 2,1575,"Complex perovskite
Tetragonal",34.3,8800,,-56,745
Sr(Eu 1/2 Nb 1/2 )O3 +0.2 wt% B 2O3,1350,"Complex perovskite
Tetragonal",34.3,37600,,-54,745
Ca(Zn 0.333 Nb 0.662V 0.005 )O3,1200,,34.3,16400,,-17,1003
0.5La2/3 TiO3-0.5LaAlO 3,1425,Perovskite Orthorhomic,34.4,45000,6.7,-23,1004
(NaBi) 1/2 MoO4,690,Tetragonal I4 1/a,34.4,12300,7.5,43,615
(Zr 1-xSn x)(Li 1/4 Nb 3/4 ) 0.4 Ti 0.06 O4 (x=0.5),,,34.4,44500,,-14,953
Bi 2Te2 W3O16,,Monoclinic C2/c,34.5,3200,,-92,805
Ba3Co 0.7 Zn 0.3 Nb 2O9++0.4 wt% CeO 2,1450,"Perovskite Trigonal
P-3m1",34.5,84000,4,0,1005
0.7Ba(Co 1/3 Nb 2/3 )O3-0.3Ba(Zn 1/3Nb 2/3 )O3,1400,"Complex perovskite trigonal
P-3m1",34.5,97000,6.5,0,"1005,1006"
0.5LaAlO3-0.5SrTiO 3 +0.25 wt% B 2O3,1430,Perovskite Psuedocubic,34.5,43200,7,-11,1007
Ba3Co .7Zn.3Nb 2O9 +V 2O5,1450,"Perovskite Trigonal
P-3m1",34.5,85000,4,0,1005
La4SmCrTi 3O15,1650,Hexagonal P3m,34.5,17300,4.7,-38,981
MgO-0.4Nb 2O5-1.5TiO 2,,Composite,34.5,81300,,-2,888
Ba4LiNb 3O12+4 wt% BCB,950,Hexagonal P6 3mc,34.5,29600,,12,1008
0.5CeO 2-0.5BaTi 4O9,1260,"Cubic flurite Fm3m 0.5
Orthorhombic Pnmm",34.5,20050,4.2,2,584
NdTiSb xTa1-xO6 (x=0.2),1480,,34.6,14500,4.2,41,1009
ZnTa2O6 + 0.5 wt% CuO,1230,Orthorhombic Pbcn,34.6,65500,,5,1010
DyTiTaO 6,1500,Aeschneite orthorhombic,34.6,40100,,7,523
BaTi 4O9 +3 wt% MCAS glass,1200,Orthorhombic Pnmm,34.6,42050,7,14,1011
La4PrCrTi 3O15,1575,Trigonal P3m,34.6,23700,4.8,-22,981
0.09(0.5ZnNb 2O6-0.5Zn 3Nb 2O8)-0.91ZnTa 2O6,1350,Orthorhombic mixtures,34.7,41950,,0,484
Bi[Sb 1-x(Nb 0.992V 0.008 ) x]O4 (x=0.4),,Monoclinic I2/c,34.7,16000,,16,646
Sr(Eu 1/2 Nb 1/2 )O3+0.5 wt% CeO 2,1575,"Complex perovskite
Tetragonal",34.7,44000,,-52,745
BaSr 2YNb 3O12,1450,Perovskite Trigonal R-3,34.7,26200,,-8,368
La5CrTi 3O15,1650,Trigonal P3m,34.8,34000,4.8,-35,981
Sr 6Ta4 TiO18+3 wt% Bi 2O3-B2O3 glass,1625,,34.8,5600,,-19,812
BiNbO4+0.03 wt% CuV 2O6,1050,Monoclinic P-1,34.9,9870,,-3,1012
Ba5SrTa4 TiO18,1550,,34.9,33000,,65,812
Sr 3YNb 3O12,1450,,34.9,15300,,46,368
"0.09[0.5ZnNb 2O 6-0.5Zn3 Nb 2O 8]-0.91ZnTa 2O 6
+0.5 wt%ZBS",1250,Composite,34.9,53900,,-2,867
Bi 2O3-2.2MoO 3,620,Mixture,35,12000,,-13,439
Ca[(Li 1/3 Ta2/3 ) .7Ti 0.3 ]O3-d +3 wt% B 2O3,1050,Perovskite orthorhombic,35,22800,9.45,-4,691
Ca[(Li 1/3 Nb 2/3 ) .9Ti 0.1]O3-+0.7 wt% B 2O3,1000,Perovskite orthorhombic,35,22100,,-5,691
Ca[(Li 1/3 Nb 2/3 ) 1-xTi x] O3- (x=0.1),1150,Perovskite orthorhombic,35,27200,,-2,678
0.5TeO 2-0.5SnTe3O8,650,Mixture phases,35,8500,,176,55
BaTi 4O9-0.1WO 3,1400,Orthorhombic Pmmn,35,52000,8,-1,155
0.46LaAlO 3-0.54SrTiO 3+2 wt% B 2O3,1460,Perovskite Psuedo cubic,35,38000,7,-1,1013
0.5LaAlO 3-0.5SrTiO 3,,Psudocubic perovskite,35,27000,,-18,1014
Ca[(Li 1/3 Nb 2/3 ) 0.8 Ti 0.2]O3-d +5 wt% Bi 2O3,900,Perovskite orthorhombic,35,11000,,13,549
BaZrO 3,,Perovskite Cubic P23,35,8800,,,823
Ba10Ta8-0.8xTi xO30 (x=1.2),1400,Hexagonal perovskite,35,25760,,64,836
Ca(Zn 1/3 Nb 2/3 )O3,,Perovskite,35,16000,,-43,548
0.42Zn 3Nb 2O8-0.58TiO 2,1250,Composite,35,48000,,0,1000
Pb 0.75 Ca0. 25(Al 1/2 Nb 1/2 )O3,,Perovskite,35,1100,4.7,133,907
Ca4.75 Ni 0.25 Ta2TiO12,1625,"Perovskite Orthorhombic
Pnma",35,34000,4.5,-0.5,206
0.5CeO 2-0.25CaO-0.25TiO 2:6.5Cr 2O3,1550,Composite,35,4300,4.4,0,433
Sr(Cr 1/2 Nb 1/2 )O3,1600,Perovskite Cubic Pm3m,35,6400,,-80,745
Sr(Eu 1/2 Nb 1/2 )O3,1575,Perovskite Monoclinic P2 1/n,35,44000,,-52,745
"0.9Ba(Zn 0.6 Co 0.4 ) 0.33 Nb 0.67]O3
-0.1Ba(Ga1/2 Ta1/2 )O3",,Perovskite,35,93550,3.06,0,1015
BaO-4TiO 2-0.1WO 3,,Composite,35,52400,6,0,155
Ba[(Zn 0.3 Co 0.7 ) 1/3 Nb 2/3 O3 +0.25 wt% V 2O 5,1450,Perovskite Trigonal P-3m1,35,85000,,0,1016
Ba([(Co 0.7 Zn 0.3 ) 1/3 Nb 2/3]O3 0.4 wt% CeO 2,1450,Perovskite Trigonal P-3m1,35,84000,,0,1005
"0.9Ba[(Zn 0.6 Co 0.4 ) 1/3 Nb 2/3]O3—
0.1Ba(Ga1/2 Ta1/2 )O3",,Perovskite,35,97600,,0,1017
0.35Ba(Ni 1/3 Nb 2/3 )O3-0.65Ba(Zn 1/3 Nb 2/3 )O 3,1450,Perovskite Trigonal P-3m1,35,25000,,1,1018
BaO-Al 2O3-4TiO 2,,,35,5000,,-15,1019
Ca4.75 Ni 0.25 Ta2TiO12,1625,Complex perovskite,35,34000,4.49,0,"206,1020"
BaO-4TiO 2-0.1WO 3,1400,Composite,35,50400,,-0.5,155
0.5LaAlO 3-0.5SrTiO 3+0.25 wt% B 2O3,1430,Psuedo cubic perovskite,35,43200,,-11,1007
0.46LaAlO 3-0.54SrTiO 3+0.25 wt% B 2O3,1460,Psuedo cubic perovskite,35,38000,,-1,1021
La5 GaTi 3O15,1550,"A5B4O15type cation deficient
Perovskite",35,30300,3.09,-55,866
ZnTa2O6,1200,Orthorhombic Pbcn,35.1,50600,,10,1022
Zn 0.9 Ti 0.8-xSn xNb 2.2 O8 (x=0.05),1120,Orthorhombic Pbcn,35.1,49100,,-28,1023
(1-x)La(Mg1/2 Ti 1/2 )O3-xLa2/3 TiO3 (x=0.4),,Perovskite I2/a,35.1,6700,7.9,,807
Sr(Cr 1/2 Nb 1/2 )O3 +0.2 wt% B 2O3,1350,"Complex perovskite Cubic
Pm3m",35.1,12500,,-73,745
0.17Ba5Nb 4O15-0.83BaNb 2O6(hex),1250,Hexagonal perovskite,35.2,59300,,0,1024
BaTi 4.35 Zn 0.55 O10.25,1260,,35.2,5000,,36,1025
Ba2Sr 3Ta4O15,1575,Hexagonal perovskite,35.2,2400,,-25,998
0.05Ca(Y 1/2 Nb 1/2 )O3-0.95Ba((Y 1/2Nb 1/2 )O 3,1550,Complex perovskite,35.2,48300,,1,689
PrTiSb xTa1-xO6 (x=0.2),1480,,35.2,12700,4.2,48,1009
Ca4La2 Ti 5-x(Mg1/3 Nb 2/3 ) xO17 (x=4),1540,Orthorhombic Pbnm,35.2,21300,,-17,1026
Ca[(Li 1/3 Nb 2/3 ) 0.8 Ti 0.2]O3-d +0.1 wt% LMZBS,1050,"Complex perovskite
Orthorhombic",35.2,22800,,-4,714
Sr(Cr 1/2 Nb 1/2 )O3,1600,Complex perovskite,35.3,6400,,-80,745
0.6Ba(Zn 1/3 Nb 2/3 )O3-0.4Ba(Co 1/3Nb 2/3 )O3,1450,Perovskite,35.5,86000,2,0,1027
Sr(Sm1/2 Nb 1/2 )O3 +0.2 wt% B 2O3,1350,"Complex perovskite
Tetragonal",35.5,34500,,-48,745
Ba(Tb 1/2 Ta1/2 )O3,1625,Complex perovskite tetragonal,35.5,31900,,-38,856
Ba(Tb 1/2 Ta1/2 )O3 +0.5 wt% Nb 2O 5,1575,"Complex perovskite
Tetragonal",35.5,31900,,-38,767
(Zr 1-xSn x)(Li 1/4 Nb 3/4 ) 0.4 Ti 0.6 O4 (x=0.1),,,35.5,37800,,-5,953
0.8ZnTa2O6-0.2MgNb 2O6,1350,Composite,35.6,65500,,0,1028
La4NdCrTi 3O15,1650,Trigonal P3m,35.6,19400,4.7,-34,981
Dy(W0.5 Ti 1.5 )O6,1450,"Orthorhombic Pnma
Aeschynite type",35.6,20200,,10,1029
Ba(Sc1/2 Nb 1/2 )O3,1700,Perovskite,35.7,20000,,,1030
Ba3ZnNb 2-xSb xO9 (x=0.125),,"Perovskite Hexagonal
P-3m1",35.7,56980,4.8,14,340
SmTaTi 0.9Zr 0.1O6,,,35.8,27730,,15,609
Ba3ZnNb 2-xSb xO9 (x=0.25),,"Perovskite Trigonal
P-3m1",35.8,35090,5.4,6,340
0.615BaTi 4O9-0.35ZnO-0.3Nb 2O5+0.3 wt% Mn,1280,Composite,35.8,50800,,1,1031
Bi(Nb 0.7 Ta0.3 )O4,900,Orthorhombic Pnma,35.8,2200,,-48,1032
Sr(Sm1/2 Nb 1/2 )O3+0.5 wt% CeO 2,1575,"Complex perovskite
Tetragonal",35.8,32300,,-47,745
Ba3-xSr xLaNb 3O12 (x=3),1430,Trigonal R-3m,35.8,44300,,-9,1033
BaO-0.6ZnO-3TiO 2,1180,Composite,35.8,21300,,1,1034
Zn 0.7 Co 0.3 TiNb 2O8,1075,Orthorhombic Pbcn,35.9,35100,,0,1035
Ba8Zn(Nb 6-xSb x)O24 (x=1.5),1425,,35.9,16900,,9,447
0.5LaAlO 3-0.5SrTiO 3,1680,Perovskite,35.9,108800,9.7,-21,754
(Zr 0.8 Sn 0.2 )TiO 4+0.2 wt% NiO,1280,Orthorhombic Pbcn,35.9,56700,9.2,,1036
Ba6Nb 4ZrO 18,1625,Trigonal R-3m,35.9,52000,,25,812
(Ag0.5 Bi 0.5 )MoO4,580,"Wolframite Monoclinic
C12/m1",35.9,13000,7.5,-69,1037
BaO-TiO2-WO3 (N-35),,Composite,36,50400,6,0,783
Ba1-xCa x(Sc1/2 Nb 1/2 )O3,,Perovskite,45.5,37500,,,1030
Sr(La1/2 Nb 1/2 )O3 +0.2 wt% B 2O3,1350,Complex perovskite cubic,36,5200,,-22,745
Ba(Nd 1/2 Ta1/2 )O3,1500,Complex perovskite,36,18000,7.3,2.9,530
Sr(Sm0.5 Ta0.5 )O3+0.5 wt% Nb 2O5 +wt% TiO 2,1600,Complex perovskite tetragonal,36,22300,,-38,780
Ba2Ti 9O20+9 wt% BaB 2O4,1050,Monoclinic P2 1/m,36,12600,,-2,913
Ba(Zn 1/3 Nb 2/3 )O3+ 5 mol% B 2O3+CuO,875,Perovskite,36,19000,,21,1038
Bi 2TiTeO8,840,,36,4700,5.7,41,1039
BaTi 4O9 -Citrate route,1250,Orthorhombic Pnmm,36,50470,,16,1040
Ba10Ta7.04 Ti 1.2 O30,,Hexagonal P6 3/mmc,36,30000,,52,410
BaTi 4O9-ZnO-Ta2O5 +0.1 wt% Mn,1280,Orthorhombic Pnmm,36,45000,4.5,0,1041
Nd(Zn 1/2 Ti 1/2 )O3,,Perovskite,36,42300,,-47,1042
TiTe3O8,700,Cubic Ia3,36,13600,4,133,48
0.25Zn 3Nb 2O8-0.75TiO 2,1200,Composite,36,5160,,4,571
BaO-TiO2-WO3 (N-35)+ 5 wt% SiO 2,1200,Composite,36,4500,8.5,,710
ZrTiO4 (polymer route)+0.5 wt% Hf,1600,Orthorhombic Pbcn,36,29700,5.3,,1043
Ba(Yb 1/2 Nb 1/2 )O3,1600,Complex perovskite,36,38100,,2,1044
Nd 2Ti 2O7,1300,Monoclinic P2 1,36,16400,,-118,"1045,1046"
Ba(Gd 1/2 Ta1/2 )O3,1625,"Complex perovskite
Tetragonal",36,3200,,-18,856
Ba(Tb 1/2 Ta1/2 )O3,1625,"Complex perovskite
Tetragonal",36,31900,,-38,856
(Pb 0.2 Ca0.8 )(Ca1/3 Nb 2/3 )O3,1350,Perovskite,36,12500,,-27,1047
0.6Ba(Zn 1/3 Nb 2/3 )O3-0.4Ba(Co 1/3Nb 2/3 )O3,1400,Perovskite Trigonal P-3m1,36,86000,,0,1027
Sr(Sm1/2 Nb 1/2 )O3,1575,Complex perovskite,36,32300,,-47,745
Ca4NiNb 2TiO12,1550,Perovskite orthorhombic,36,31500,4.1,-30,206
Ca4.88 Co 0.12 Ta2TiO12,1625,"Orthorhombic Pnma
Perovskite",36,35000,4.49,0,"206,1020"
Ca5Ta2 Ti 0.7 Zr 0.3 O12,1650,"Perovskite Pnma
Orthorhombic",36,28000,4.4,0,598
La4MgTi 3O12,,Perovskite slab series,36,26000,5.8,-39,863
0.2CaTiO 3-8Ca(Mg1/3 Nb 2/3 )O3,1450,Composite,36,39000,7.7,-30,857
Li 2O-Nb 2O5-TiO2 +1 wt% B 2O3,1100,,36,10450,5.9,12,1048
5Li 2O-Nb 2O5-5TiO 2,1120,,36,10500,,12,686
Ba2Ti 9-x[La0.5 Ta.5] xO20 (x=0.05),1350,Monoclinic P-1,36,60000,,12,1049
Ba8Ta4+0.8x Ti 3-xO24(x=0=0.4),1400,"AnB n-1O3n hexagonal
Perovskite",36,12000,,,1050
Ba7/12 La5/12 Zn 1/3Ti 5/12 Nb 3/12 O3,1400,,36,1100,5.01,-14,835
Sr 3LaNb 3O12,1430,Hexagonal perovskite,36,45000,,-9,1051
Ba(Gd 1/2 Ta1/2 )O3 +0.5 wt% Nb 2O5,1575,"Complex perovskite
Tetragonal",36,3150,,-18,767
Ba[(Zn 0.6 Mg0.4 )Nb 2/3]O3,,"Perovskite Hexagonal
P-3m1",36,94400,,29,1052
TiO2+50 vol% ZBS glass,900,Composite,36,7500,,,1053
Ba(Ti 0.5 Mn 0.5 )O3+5 wt% Bi 2O3,1200,Perovskite,36,6800,,25,868
"0.6La1/2 Mg1/2 TiO3-0.4La1/2 Na1/2 TiO3 +1wt%
B2O3",1475,Composite,36,15500,8,-5,1054
Ba8(Mg1-xZn x)Nb 6O24 (x=0.2),,,36,16950,,57,1055
NdTiSb xTa1-xO6 (x=0.1),1480,,36,17600,4.19,48,1009
Ba4MgTi 11O27,1275,Monoclinic C2/m,36.1,19600,,15,1056
Ba8Zn(Nb 6-xSb x)O24 (x=0),1425,,36.2,10900,,50,447
Ba3LiNb 0.5 Sb 2.5 Ti 5O21,1200,Hexagonal P6 3/mcm,36.2,27000,,20,838
Ba8(Mg1-xZn x)Nb 6O24 (x=1),,,36.2,10900,,50,1055
Sr 5NbTa3O15,1575,"Hexagonal perovskite
P-3m1",36.2,6900,5.14,31,773
La5 GaTi 3O15,1600,"A5B4O15type cation deficient
Perovskite",36.2,30300,,-55,866
BaTi 4O9+5 mol% CuO+2 mol% B 2O3,900,Orthorhombic Pmmn,36.3,30500,,28,1057
La6MgTi 4O18,1625,A6B5O18 type perovskite,36.3,27350,,-39,812
ZnTiNbTaO8,1140,Orthorhombic Pbcn,36.3,67000,,58,1058
CeTiSb xTa1-xO6 (x=0.05),1480,,36.3,11500,3.99,63,1009
(Sr 1-xBa x)(Y1/2 Nb 1/2 )O3 (x=0.95),1600,Complex perovskite,36.3,48600,,0,745
"0.85BaTi 4O9-0.15BaZn 2Ti 4O11
+1 wt% CuO",1150,Composie,36.4,62600,,0,1059
CaTi .3(Al 1/2 Nb 1/2 ) .7O3 +1 wt% Li 3 NbO4,1300,Perovskite Orthorhombic,36.4,38900,7,-57,1060
Sr 6Nb 4ZrO 18+2 wt% Bi 2O3-B2O3 glass,1625,,36.4,21000,,-8,812
5Li 2O-1Nb 2O5-5TiO 2+1 wt% B 2 O3+4 wt% ZnO,920,Multiphase,36.4,8800,,4,1061
Nd 2Ti 2O7,,Monoclinic P2 1/n,36.5,16400,9.1,-118,1045
Bi 2Mo 2O9+2 mol% Nb 2O5,620,Monoclinic P2 1/n,36.5,14100,,6,1062
Ba(Eu 1/2 Ta1/2 )O3 + 0.5 wt% Nb 2O5,1575,Perovskite Tetragonal,36.5,41200,,-16,767
Ba2Ti 9O20+5 wt% B 2O3,1200,Monoclinic P2 1/n,36.5,40200,,38,1057
"BaO-TiO2-ZnO +0.5 mol% MnCO 3+0.24 mol%
SnO2",1160,Mixture phases,36.5,42000,4.7,2,1025
La5Zn 0.5 Ti 3.5 O15,1500,,36.5,23000,5.3,-39,866
BaTi 4.35 Zn 0.55 O10.25 +0.5 mol% SnO 2,1160,,36.5,42000,,2,1025
0.3TeO 2-0.7SnTe3O8,660,Mixture phases,36.5,8800,,200,55
Sr(Nd 1/2 Nb 1/2 )O3 +0.2 wt% B 2O3,1350,Complex perovskite cubic,36.5,22200,,-42,745
Ca5Ta2 TiO12 +1 wt% Co 3O4,1625,"Complex perovskite
Orthorhombic Pnma",36.5,38500,,6,1063
0.7SrTiO 3-0.3LaAlO 3 +10 wt% ZnO-B2O 3,1100,,36.6,10800,,-4,1064
Ba3Ti 5Nb 6O28+3 wt% ZnB 2O4,925,Monoclinic P2 1/c,36.6,19100,,5,1065
Sr(La1/2 Nb 1/2 )O3+0.5 wt% CeO 2,1575,Complex perovskite cubic,36.6,4025,,-20,745
(5-x)BaO-xMgO-2Nb 2O5 (x=0.5),1200,Mixed phases,36.7,20000,,61,1066
(Zr 0.8 Sn 0.2 )TiO 4+0.2 wt% MgO,1320,Orthorhombic Pbcn,36.7,60000,6.5,,1067
Sr(Pr 1/2 Nb 1/2 )O3 +0.2 wt% B 2O3,1350,Complex perovskite cubic,36.7,4600,,-35,745
Ba6Ti 1-xSn xNb 4O18 (x=0.5),1500,Monoclinic P2 1/c,36.7,21400,5.7,34,894
Ba4ZnTi 11O27,1200,Monoclinic C2/m,36.8,16460,,17,990
Ba3LaTa3O12,,"A4B4O12 Cation deficient
perovskite",36.8,22000,6.4,-50,1068
NdTiSb xTa1-xO6 (x=0.05),1480,,36.8,15700,4.13,48,1009
CaTi 0.3 (Al 1/2 Nb 1/2 ) 0.7 O3,1500,Perovskite,36.8,29800,7,-61,1060
Ca(Fe1/2 Nb 1/2 )O3,,"Perovskite Orthorhombic
Pbnm",36.8,15800,8.2,-93,"1069,1070"
TbTiTaO6,1525,Orthorhombic,36.8,32300,,10,523
